domain,function_name,uncertainty_type,execution_time,timestamp,scenario_length
InformationControlEnv,weather_alerts,ambiguous_documentation.md,54.88023042678833,2025-06-20 01:15:50,8599
TimeNotificationEnv,get_alarms,unclear_functionality_boundaries.md,54.75822138786316,2025-06-20 01:15:50,9627
MediaControlEnv,get_media_details,ad_hoc_rules.md,61.16566729545593,2025-06-20 01:15:56,7419
SmartHomeEnv,volume_adjust,ad_hoc_rules.md,65.96064805984497,2025-06-20 01:16:01,10730
TimeNotificationEnv,get_reminders,ambiguous_documentation.md,66.68789339065552,2025-06-20 01:16:02,8414
InformationControlEnv,weather_forecast,ambiguous_documentation.md,67.29525899887085,2025-06-20 01:16:02,8222
CulinaryControlEnv,search_restaurants,ambiguous_documentation.md,67.84456205368042,2025-06-20 01:16:03,9955
SmartHomeEnv,volume_adjust,unclear_functionality_boundaries.md,68.09023642539978,2025-06-20 01:16:03,13399
CommunicationController,get_call_history,ad_hoc_rules.md,68.2349853515625,2025-06-20 01:16:03,8754
MediaControlEnv,play,ambiguous_documentation.md,68.19026827812195,2025-06-20 01:16:03,9683
SmartHomeEnv,mode_set,unclear_functionality_boundaries.md,69.681875705719,2025-06-20 01:16:05,8660
InformationControlEnv,stock_watchlist,ambiguous_documentation.md,70.71517705917358,2025-06-20 01:16:06,8124
InformationControlEnv,weather_alerts,ad_hoc_rules.md,73.81321334838867,2025-06-20 01:16:09,7542
CulinaryControlEnv,get_meal_suggestions,ambiguous_documentation.md,73.80810546875,2025-06-20 01:16:09,12401
MediaControlEnv,get_playback_status,ad_hoc_rules.md,74.1967785358429,2025-06-20 01:16:09,9120
TimeNotificationEnv,create_alarm,ad_hoc_rules.md,74.06823492050171,2025-06-20 01:16:09,8660
SmartHomeEnv,think,unclear_functionality_boundaries.md,74.68160820007324,2025-06-20 01:16:10,8947
SmartHomeEnv,channel_change,ad_hoc_rules.md,74.96386075019836,2025-06-20 01:16:10,9996
TransactionEnv,checkout,ad_hoc_rules.md,76.63162922859192,2025-06-20 01:16:12,12794
SmartHomeEnv,find_device_by_name,unclear_functionality_boundaries.md,77.81818532943726,2025-06-20 01:16:13,9520
TimeNotificationEnv,create_alarm,unclear_functionality_boundaries.md,78.12941002845764,2025-06-20 01:16:13,10658
TimeNotificationEnv,create_reminder,unclear_functionality_boundaries.md,78.5422477722168,2025-06-20 01:16:13,9638
SmartHomeEnv,volume_adjust,ambiguous_documentation.md,79.16250658035278,2025-06-20 01:16:14,12567
TransactionEnv,track_order,ad_hoc_rules.md,79.75823140144348,2025-06-20 01:16:15,10884
CommunicationController,make_call,ad_hoc_rules.md,82.7493348121643,2025-06-20 01:16:18,13301
CulinaryControlEnv,place_delivery_order,ad_hoc_rules.md,83.14581203460693,2025-06-20 01:16:18,17693
MediaControlEnv,play,ad_hoc_rules.md,83.12430000305176,2025-06-20 01:16:18,10016
CulinaryControlEnv,place_delivery_order,unclear_functionality_boundaries.md,83.22664737701416,2025-06-20 01:16:18,15276
SmartHomeEnv,open_open,unclear_functionality_boundaries.md,83.47160935401917,2025-06-20 01:16:18,10792
SmartHomeEnv,get_device_details,unclear_functionality_boundaries.md,83.92641544342041,2025-06-20 01:16:19,9785
SmartHomeEnv,brightness_adjust,unclear_functionality_boundaries.md,84.29660105705261,2025-06-20 01:16:19,11506
MediaControlEnv,fast_forward,ambiguous_documentation.md,84.45010542869568,2025-06-20 01:16:19,10288
CulinaryControlEnv,search_recipes,ambiguous_documentation.md,85.4946117401123,2025-06-20 01:16:20,9718
CulinaryControlEnv,schedule_meal,ambiguous_documentation.md,86.2215678691864,2025-06-20 01:16:21,10546
TimeNotificationEnv,set_notification_preferences,unclear_functionality_boundaries.md,86.68486213684082,2025-06-20 01:16:22,10616
TimeNotificationEnv,create_notification,unclear_functionality_boundaries.md,87.72083640098572,2025-06-20 01:16:23,13486
SmartHomeEnv,brightness_adjust,ambiguous_documentation.md,89.55375123023987,2025-06-20 01:16:25,11547
SmartHomeEnv,brightness_adjust,ad_hoc_rules.md,90.412837266922,2025-06-20 01:16:26,12597
TimeNotificationEnv,create_alarm,ambiguous_documentation.md,91.07240295410156,2025-06-20 01:16:26,10291
MediaControlEnv,set_playback_speed,ad_hoc_rules.md,92.2615852355957,2025-06-20 01:16:27,10005
TimeNotificationEnv,get_reminders,unclear_functionality_boundaries.md,92.40840291976929,2025-06-20 01:16:27,12356
SmartHomeEnv,lock_lock,unclear_functionality_boundaries.md,93.31156659126282,2025-06-20 01:16:28,11836
CulinaryControlEnv,create_meal_plan,ambiguous_documentation.md,96.6290545463562,2025-06-20 01:16:32,13295
CulinaryControlEnv,track_delivery_order,ad_hoc_rules.md,97.09438109397888,2025-06-20 01:16:32,11256
CulinaryControlEnv,create_custom_recipe,ambiguous_documentation.md,101.75067257881165,2025-06-20 01:16:37,14516
TimeNotificationEnv,get_notifications,unclear_functionality_boundaries.md,101.94265270233154,2025-06-20 01:16:37,10299
CulinaryControlEnv,get_meal_suggestions,ad_hoc_rules.md,105.59273195266724,2025-06-20 01:16:41,12691
SmartHomeEnv,color_set,ambiguous_documentation.md,107.51528739929199,2025-06-20 01:16:43,10287
CulinaryControlEnv,place_delivery_order,ambiguous_documentation.md,110.49163794517517,2025-06-20 01:16:46,17903
MediaControlEnv,play,unclear_functionality_boundaries.md,126.01617002487183,2025-06-20 01:17:01,14216
SmartHomeEnv,mode_set,ad_hoc_rules.md,116.31595492362976,2025-06-20 01:17:46,10947
